ID,Start time,Completion time,What is your role in your organization? (Select the best answer),Which industry best describes your organization's primary sector? (Select the best answer),How long have you been working with AI technologies? (Select the best answer),Do you believe there is a need to enhance your organization's responsible AI framework to address the complexities of agentic AI? (Select the best answer),Which dimensions of your responsible AI framework do you perceive as most likely needing enhancement for agentic AI? (Select all that apply),Which of the following implementation techniques and technologies has your organization adopted to ensure agentic AI operates responsibly? (Select all that apply),How has the implementation of agentic AI influenced your organization's culture and practices? (Select all that apply),"In your view, what is the single most pressing challenge that organizations must address when developing or deploying agentic AI systems?","What do you think are the future trends in responsible AI, especially concerning agentic AI?",Our organization has a clear understanding of the differences between agentic AI and generative AI.,Our organization has effectively adapted its responsible AI framework to include agentic AI.,Our organization has a clear understanding of how agentic AI impacts our responsible AI policies and governance.,Implementing agentic AI has positively influenced our organization's ROI.,Calculating ROI for agentic AI projects remains a challenge for our organization.,Our organization sees a strong connection between responsible AI practices and financial performance.,Our organization is well-prepared to adapt to future advancements in responsible AI.
29,2-13-25 6:13:39,2-13-25 6:27:53,Product Managers & Product Owners (AI-driven products) ,"Healthcare & Life Sciences (e.g., hospitals, pharmaceuticals, biotech) ",1-3 years,Yes,Stakeholder Engagement Processes;,"Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Not implemented only discussing;,"Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration,","Oversight capabiities, seurity and transparency & cost",Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree
30,2-13-25 6:39:32,2-13-25 6:41:28,"Business & Strategy Leaders (Chief AI Officers, Innovation Leaders, CEOs) ","Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Yes,Ethical Guidelines;Accountability Mechanisms;Bias Mitigation Strategies;Privacy and Data Protection Protocols;Safety and Security Standards;Transparency Measures;,"Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);",Increased focus on ethical considerations;Improved training and development programs;Adoption of new technologies and tools;,,,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree
31,2-13-25 7:42:57,2-13-25 7:50:39,Technology Sales ,"Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Not Sure,Safety and Security Standards;Ethical Guidelines;Privacy and Data Protection Protocols;,"Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);",Improved training and development programs;Adoption of new technologies and tools;,"Transparency and Explainability, and Ethical and Bias Concerns. ",Collaborative multi agent systems with AI governance. ,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Disagree
32,2-13-25 10:17:32,2-13-25 10:41:56,"AI Consultants & Advisors (ethics, strategy, policy) ",Staffing and Recruiting Services,More than 10 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Stakeholder Engagement Processes;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",No significant impact;,"The biggest challenge of agentic AI systems is understanding the balance between automating agent actions to reduce the amount of time necessary to perform tasks accurately and efficiently and creating agents to replace personnel. Some tasks which were previously considered professional tasks like translating documents, creating videos, supporting users, etc. are going to change dramatically as agentic AI systems become more advanced. How companies and employees adept and accept these changes will determine how agentic AI systems evolve and progress.","The pressing challenges of agentic AI systems are going to shape the trends in responsible AI. As I explained above, companies are going to be faced with when to reduce personnel, when to completely replace personnel, and when to re-tool personnel. But beyond that, agentic AI poses a risk for how data is captured and used in the development of these systems. At what point does agentic AI take over the capture of PII because it is less likely to steal information. Are Chinese walls necessary between agentic AI systems to prevent bleed of information as they are today? How do bad guys leverage agentic AI systems to interpose themselves in the various processes being automated and how does the end user tell which agentic AI system is a bad actor? As agentic AI systems evolve into robotic systems what measures can be taken to prevent evil agents which are now robots?",Disagree,Disagree,Strongly disagree,Neutral,Strongly Agree,Disagree,Disagree
33,2-14-25 7:47:25,2-14-25 7:54:11,Software Engineer ,"Technology (e.g., AI/ML development, software, IT services) ",Less than 1 year,Yes,Accountability Mechanisms;Transparency Measures;Safety and Security Standards;Privacy and Data Protection Protocols;,Don’t know;,Don’t know;,Transparency ,N/a,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree
34,2-16-25 11:29:18,2-16-25 11:44:05,"Engineering & IT Leadership (CTOs, CIOs, VPs of AI/Tech) ","Technology (e.g., AI/ML development, software, IT services) ",5-10 years,Yes,Bias Mitigation Strategies;Accountability Mechanisms;Transparency Measures;Ethical Guidelines;Privacy and Data Protection Protocols;Stakeholder Engagement Processes;Safety and Security Standards;,"Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Enhanced collaboration across departments;Changes in decision-making processes;Adoption of new technologies and tools;Greater emphasis on transparency and accountability;,"Making sure the AI’s autonomous actions consistently adhere to legal regulations, brand values, user expectations, and broader ethical standards. It crosses the line from “advisory” to “action-oriented.” This higher level of autonomy requires heightened governance","Human-on-the-loop frameworks will emerge: humans set higher-level goals and policies and step in only when anomalies or high-risk decisions arise
We might needs International standards, specifically AI Acts.
Focus on adaptive guardrails to make sure we do not depend just upon static info.
Real time monitoring",Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Agree
35,2-17-25 6:39:19,2-17-25 6:44:44,"AI Developers & Engineers (applied AI, ML specialists) ","Technology (e.g., AI/ML development, software, IT services) ",3-5 years,Yes,Safety and Security Standards;Privacy and Data Protection Protocols;Bias Mitigation Strategies;,"Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Enhanced collaboration across departments;Improved training and development programs;Adoption of new technologies and tools;,360 degree evaluation of the AI systems ,Apps will become Agents. User Interface will be interactive. Streamlined development process. Standardized processes throughout industries.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
36,2-19-25 9:54:18,2-19-25 10:03:24,"Engineering & IT Leadership (CTOs, CIOs, VPs of AI/Tech) ","Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Yes,Bias Mitigation Strategies;Privacy and Data Protection Protocols;,"Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);",Changes in decision-making processes;Greater emphasis on transparency and accountability;,The Agents should have clear explainability patterns given they are distilled models and less hallucinated. This would provide further trust in the response patterns and decisions can be relied upon for further agents to act upon.,"Accuracy percentage, multi-threaded, low costs",Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree
37,2-19-25 19:30:20,2-19-25 19:33:40,AI Developer (beginer) with Advanced Analytics,"Technology (e.g., AI/ML development, software, IT services) ",3-5 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Privacy and Data Protection Protocols;Safety and Security Standards;Stakeholder Engagement Processes;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Increased focus on ethical considerations;Enhanced collaboration across departments;Greater emphasis on transparency and accountability;Adoption of new technologies and tools;Improved training and development programs;Changes in decision-making processes;,"investing in right AI framework, learning curve",more of AI replacing clerical jobs,Agree,Agree,Agree,Agree,Agree,Agree,Agree
38,2-22-25 17:20:55,2-22-25 17:36:19,"AI Developers & Engineers (applied AI, ML specialists) ","Retail & E-commerce (e.g., consumer goods, online marketplaces) ",More than 10 years,Yes,Accountability Mechanisms;Ethical Guidelines;Privacy and Data Protection Protocols;,"Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);",Greater emphasis on transparency and accountability;Improved training and development programs;Adoption of new technologies and tools;Changes in decision-making processes;Enhanced collaboration across departments;,"Fairness in response. 
Explainability of system output.
Transparency 
","To be honest, it is hard-to-predict as the way the Agentic AI ecosystem is developing, and how the Responsible AI is going to cope up with it.

Responsible AI is not a one time activity and is a continuous measure that needs to be updated and upgraded as things develop.",Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree
39,2-24-25 6:46:24,2-24-25 7:04:20,"AI Developers & Engineers (applied AI, ML specialists) ","Technology (e.g., AI/ML development, software, IT services) ",5-10 years,Yes,Ethical Guidelines;Bias Mitigation Strategies;Transparency Measures;,"Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);",No significant impact;,Explainability and interpretation.,Improved explainability and reliability.,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree
40,2-13-25 6:53:57,2-13-25 7:00:19,"Business & Strategy Leaders (Chief AI Officers, Innovation Leaders, CEOs) ","Technology (e.g., AI/ML development, software, IT services) ",More than 10 years,Yes,Privacy and Data Protection Protocols;Bias Mitigation Strategies;Transparency Measures;Ethical Guidelines;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Improved training and development programs;Adoption of new technologies and tools;Changes in decision-making processes;,"The most pressing challenge is to ensure that the workforce is ready for the AI agentic era, i.e. people have the necessary skills to work with agents, identify use cases for them, integrate them in their daily workflows, and do all of this reponsibly!","- More responsible guardrails built-in foundation models (GPT, Claude, etc.), as well as more control
- New job creation in critical areas of responsible AI where enterprises lack expertise (today)
- Enterprise-wide skills development programs around Responsible AI
- Agent inventory in the enterprise",Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree
41,2-19-25 9:26:43,2-19-25 11:08:18,Manager,"Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Not Sure,Transparency Measures;Accountability Mechanisms;Bias Mitigation Strategies;Privacy and Data Protection Protocols;Safety and Security Standards;Stakeholder Engagement Processes;Ethical Guidelines;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Adoption of new technologies and tools;,"AI output review to ensure accuracy in the results.  I am concerned it may be adopted or used where not appropriate, or people may act on its output without reflection first.","I expect AI will be trusted more and more, and it will help us find more efficiencies. I expect we'll run into challenges first as we learn to use it well.",Disagree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Agree
42,2-19-25 10:08:11,2-19-25 11:21:05,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Privacy and Data Protection Protocols;Bias Mitigation Strategies;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);",Adoption of new technologies and tools;,Establishing robust safety and control mechanisms,Enhanced Transparency and Explainability,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree
43,2-21-25 11:09:57,2-21-25 11:18:24,"Business & Strategy Leaders (Chief AI Officers, Innovation Leaders, CEOs) ","Manufacturing & Industrial (e.g., automotive, electronics, heavy industry) ",5-10 years,Yes,Privacy and Data Protection Protocols;Ethical Guidelines;Transparency Measures;Accountability Mechanisms;,"Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Greater emphasis on transparency and accountability;,"Explaining the decision-making process and ensuring consistent application of desired ""rules"". RPA can generally be process walked and explained. Agentic has a level of ""freedom and uncertainty"" in it that gives people pause.","I feel confident that we will see rapid growth of AI as an augmentation to job functions, but I believe true agentic AI is likely not mainstream for quite some time. It's a bit like electric car rollout. The capability is there but the market can identify enough gaps and potential issues that they're hesitant to fully commit.",Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral
44,2-21-25 13:04:09,2-21-25 13:07:57,"AI Developers & Engineers (applied AI, ML specialists) ","Healthcare & Life Sciences (e.g., hospitals, pharmaceuticals, biotech) ",1-3 years,Yes,Transparency Measures;,"Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Reduced hiring in customer service positions;,Oversight and explainability,Increased flexibility and complexity of interactions with end users at lower per instance cost.,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral
